New_Index,Index,Unnamed: 0,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,joy,sadness,anticipation,surprise,anger,fear,disgust,trust,喜び,悲しみ,期待,驚き,怒り,恐れ,嫌悪,信頼
12,13,12,4ptDJbJl35d7gQfeNteBwp,Dan Berk,Solo,Solo,52,198712,False,0.489,0.314,7,-9.245,0,0.0331,0.749,0.0,0.113,0.607,124.234,4,acoustic,,,,,,,,,0.5390119,0.030525856,0.29469413,0.07298257,0.005877187,0.01667564,0.022245077,0.017987682
13,14,13,0X9MxHR1rTkEHDjp95F2OO,Anna Hamilton,Bad Liar,Bad Liar,62,248448,False,0.691,0.234,3,-6.441,1,0.0285,0.777,0.0,0.12,0.209,87.103,4,acoustic,,,,,,,,,0.66686803,0.017780747,0.20379509,0.05451198,0.0033132252,0.0095640635,0.0127462745,0.03142062
14,15,14,4LbWtBkN82ZRhz9jqzgrb3,Chord Overstreet;Deepend,Hold On (Remix),Hold On - Remix,56,188133,False,0.755,0.78,2,-6.084,1,0.0327,0.124,2.83e-05,0.121,0.387,120.004,4,acoustic,,,,,,,,,0.64848423,0.03695052,0.1990781,0.037109215,0.00535378,0.015781976,0.024899371,0.03234277
15,16,15,1KHdq8NK9QxnGjdXb55NiG,Landon Pigg,The Boy Who Never,Falling in Love at a Coffee Shop,58,244986,False,0.489,0.561,4,-7.933,1,0.0274,0.2,4.56e-05,0.179,0.238,83.457,3,acoustic,,,,,,,,,0.74765444,0.019734936,0.10785921,0.037746657,0.004619826,0.009890185,0.017598832,0.05489584
16,17,16,6xKeQgzfjixSUld14qUezm,Andrew Foy;Renee Foy,ily (i love you baby),ily (i love you baby),56,129750,False,0.706,0.112,2,-18.098,1,0.0391,0.827,4.03e-06,0.125,0.414,110.154,4,acoustic,,,,,,,,,0.44536686,0.07542608,0.3132586,0.071532436,0.0070285457,0.031477425,0.041318513,0.014591484
17,18,17,4Yo0igmcoNyat1secaH0OD,Andrew Foy;Renee Foy,At My Worst,At My Worst,54,169728,False,0.795,0.0841,10,-18.09,0,0.0461,0.742,1.17e-05,0.0853,0.609,91.803,4,acoustic,,,,,,,,,0.37946865,0.047487162,0.40414858,0.046663743,0.012375317,0.028748602,0.04432887,0.036779057
18,19,18,2qLMf6TuEC3ruGJg4SMMN6,Jason Mraz;Colbie Caillat,We Sing. We Dance. We Steal Things.,Lucky,68,189613,False,0.625,0.414,0,-8.7,1,0.0369,0.294,0.0,0.151,0.669,130.088,4,acoustic,,,,,,,,,0.8251279,0.008527654,0.09988327,0.02470061,0.0015441765,0.0045544216,0.005844244,0.02981767
19,20,19,6CgNoAbFJ4Q4Id4EjtbXlC,Boyce Avenue;Bea Miller,"Cover Sessions, Vol. 4",Photograph,67,260186,False,0.717,0.32,3,-8.393,1,0.0283,0.83,0.0,0.107,0.322,107.946,4,acoustic,,,,,,,,,0.66385347,0.021567088,0.16577053,0.04728989,0.0068468573,0.012764501,0.024719615,0.057188053
20,21,20,3S0OXQeoh0w6AY8WQVckRW,Jason Mraz,We Sing. We Dance. We Steal Things.,I'm Yours,75,242946,False,0.703,0.444,11,-9.331,1,0.0417,0.559,0.0,0.0973,0.712,150.96,4,acoustic,,,,,,,,,0.7125775,0.025928784,0.15163045,0.036311854,0.0048677213,0.012007909,0.02059339,0.036082342
21,22,21,210JCw2LbYD4YIs8GiZ9iP,Boyce Avenue;Jennel Garcia,"Cover Sessions, Vol. 3",Demons,63,174174,False,0.678,0.351,0,-8.654,1,0.0266,0.747,0.0,0.355,0.569,90.032,4,acoustic,,,,,,,,,0.5289594,0.038729884,0.27865583,0.07750406,0.0071211583,0.01742527,0.030038077,0.02156633
22,23,22,5TvE3pk05pyFIGdSY9j4DJ,A Great Big World;Christina Aguilera,Is There Anybody Out There? - Track by Track Commentary,Say Something,70,229400,False,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,3,acoustic,,,,,,,,,0.6744685,0.028724778,0.19958575,0.030260177,0.004120776,0.010743366,0.017476855,0.03461978
23,24,51,3ILmwMefYZoQh5Cf5jeuUQ,Motohiro Hata,Documentary,透明だった世界,61,232360,False,0.373,0.914,0,-4.185,1,0.0565,0.076,0.0,0.669,0.56,168.21,4,acoustic,,,,,,,,,0.09298766,0.46645576,0.084651716,0.037216235,0.014980241,0.15323602,0.1415815,0.008890969
24,25,52,2DHDuADAHoUW6n0z80RLQF,Andrew Belle,Black Bear,Pieces,60,241119,False,0.494,0.652,6,-5.863,0,0.0314,0.0754,0.00256,0.125,0.298,137.018,4,acoustic,,,,,,,,,0.75726014,0.014979263,0.13315117,0.032776736,0.003106234,0.008042088,0.013193384,0.037490997
25,26,53,5JDcQAztvZTIkrWoZihgvC,Ron Pope,The Bedroom Demos,A Drop in the Ocean,68,220239,False,0.447,0.393,5,-8.65,1,0.038,0.785,0.0,0.28,0.564,73.139,3,acoustic,,,,,,,,,0.78162515,0.011706611,0.12193055,0.030240696,0.0025675262,0.006433963,0.009704471,0.035791036
26,27,54,2sYFi9xVSZ56WHKSY2fN1K,Adam Christopher,So Far Away (Acoustic),So Far Away - Acoustic,52,171543,False,0.576,0.331,6,-9.389,0,0.0306,0.894,3.44e-05,0.129,0.407,149.02,4,acoustic,,,,,,,,,0.76229477,0.0185194,0.123654746,0.024686115,0.0033221561,0.008783444,0.0144864265,0.044252943
27,28,55,6xJOhSm4SvZwzy3uhWz26O,Andrew Belle,Black Bear,The Enemy,62,286865,False,0.536,0.89,1,-5.222,1,0.0375,0.078,0.0202,0.131,0.273,121.974,4,acoustic,,,,,,,,,0.6380945,0.036900576,0.18206413,0.049584668,0.007825949,0.017643366,0.03230711,0.035579752
28,29,56,7lLKxcNeJtDTWVRKHovLEC,Aron Wright,Build It Better,Build It Better,51,234473,False,0.526,0.333,4,-13.02,1,0.0314,0.91,0.168,0.111,0.159,94.951,4,acoustic,,,,,,,,,0.5284023,0.041917425,0.28555644,0.040606834,0.009031654,0.022600578,0.036878206,0.03500652
29,30,58,4oa14QBfWRDfJy2agySy0L,Sara Bareilles,Little Voice,Gravity,67,232760,False,0.27,0.275,0,-10.357,1,0.0356,0.834,0.0,0.146,0.231,168.964,4,acoustic,,,,,,,,,0.72003895,0.022791265,0.12995672,0.035494603,0.005985023,0.011705566,0.02354262,0.050485253
30,31,59,2gRKq9rIC5i1zuxp06zJWH,Chord Overstreet,What's Left of You,What's Left of You,57,178600,True,0.731,0.507,0,-6.477,1,0.046,0.572,0.0,0.0912,0.265,117.969,4,acoustic,,,,,,,,,0.7987338,0.013232345,0.08507786,0.034416057,0.0030715114,0.007560248,0.01211049,0.04579769
31,32,60,08MFgEQeVLF37EyZ7jcwLc,Zack Tabudlo,Pano,Pano,75,254400,False,0.375,0.457,3,-7.018,1,0.0315,0.868,0.0145,0.191,0.415,174.839,3,acoustic,,,,,,,,,0.48462024,0.028738147,0.21878208,0.20651884,0.0062313327,0.014477852,0.026238395,0.0143930875
32,33,61,6nXIYClvJAfi6ujLiKqEq8,Andrew Belle,The Daylight EP,Sky's Still Blue,62,244320,False,0.43,0.791,6,-5.419,0,0.0302,0.0726,0.0193,0.11,0.217,171.864,4,acoustic,,,,,,,,,0.713372,0.017715242,0.16573511,0.04577548,0.003331901,0.00949182,0.014065343,0.030513167
33,34,62,7x4b0UccXSKBWxWmjcrG2T,Kurt Cobain,Montage Of Heck: The Home Recordings,And I Love Her,66,124933,False,0.616,0.282,1,-15.317,1,0.0331,0.983,0.833,0.13,0.435,96.638,4,acoustic,,,,,,,,,0.81934696,0.00976224,0.09437824,0.022457153,0.001866343,0.0049974257,0.006895757,0.040295854
34,35,63,6owKuyHxUqidcAA6fPKSyy,Boyce Avenue;Bea Miller,"Cover Sessions, Vol. 3",We Can't Stop,64,222146,False,0.705,0.347,2,-8.249,1,0.0301,0.674,0.0,0.12,0.36,80.057,4,acoustic,,,,,,,,,0.643855,0.02016864,0.20152041,0.047111116,0.0065295976,0.0113368025,0.022826957,0.046651527
35,36,64,0wbmIfvndFV9VDvuUY1pYN,Tim Halperin,Covers,Always Be My Baby,62,181852,False,0.582,0.255,4,-10.254,1,0.0306,0.772,0.0,0.0889,0.285,139.884,4,acoustic,,,,,,,,,0.7421272,0.01659565,0.13413139,0.034424342,0.0041754725,0.009126352,0.01752439,0.041895214
36,37,65,3e5yu9MkIvQx17mm7LF6KY,Canyon City,Midnight Waves,Alone with You,58,186584,False,0.549,0.274,1,-12.565,1,0.0379,0.798,6.63e-06,0.103,0.207,86.664,4,acoustic,,,,,,,,,0.79339665,0.013744824,0.09785309,0.027039029,0.0028497921,0.0078100394,0.011395288,0.04591124
37,38,66,6VwAh8Z1d5YKoSWoEaV4db,Aaron Espe,Making All Things New,Making All Things New,65,159600,False,0.787,0.355,0,-11.429,1,0.0288,0.896,0.0201,0.111,0.48,99.978,4,acoustic,,,,,,,,,0.7286335,0.013169736,0.17211507,0.028390575,0.0024738235,0.0071223364,0.00904444,0.039050546
38,39,67,2D4BSm5Z8Hq5zYbSgJwEOh,Sara Bareilles,What's Inside: Songs from Waitress,She Used To Be Mine,67,250266,False,0.397,0.303,5,-7.508,1,0.0435,0.381,0.0,0.101,0.172,81.05,4,acoustic,,,,,,,,,0.71233374,0.021499634,0.14826429,0.03281842,0.004811876,0.01116177,0.018263988,0.050846275
39,40,68,7LwGBxB0h0CVmkOZxYKn0g,Andrew Belle,In My Veins (Feat. Erin Mccarley),In My Veins - Feat. Erin Mccarley,65,318908,False,0.548,0.42,0,-7.842,1,0.0277,0.198,4.46e-06,0.0899,0.196,128.012,4,acoustic,,,,,,,,,0.5998736,0.027992148,0.251699,0.04122777,0.0062788925,0.014958272,0.025674392,0.03229595
40,41,70,16dkWKIlBsfYTISCVuDs0w,Ron Pope,Whatever It Takes,A Drop In the Ocean,55,219480,False,0.484,0.573,5,-6.183,1,0.0298,0.0882,1.14e-06,0.15,0.346,139.966,3,acoustic,,,,,,,,,0.78162515,0.011706611,0.12193055,0.030240696,0.0025675262,0.006433963,0.009704471,0.035791036
41,42,71,3TwtrR1yNLY1PMPsrGQpOp,Five For Fighting,America Town,Superman (It's Not Easy),70,221693,False,0.382,0.416,0,-9.303,1,0.0302,0.0733,0.0,0.0719,0.125,102.089,4,acoustic,,,,,,,,,0.6744329,0.028183145,0.17089866,0.051700663,0.005250064,0.0142376395,0.022571146,0.032725807
42,43,72,3Et4LKZLnXygPYfNdeB3D3,Andrew Belle,Dive Deep,When the End Comes,57,354400,False,0.541,0.575,9,-9.463,1,0.0491,0.677,0.215,0.102,0.428,91.98,4,acoustic,,,,,,,,,0.6203033,0.029483005,0.18717715,0.060094688,0.007922389,0.017465081,0.031548224,0.046006262
43,44,73,2E9viCx0hJKNKNThd2MdGQ,Bailey Jehl,You're Still The One,You're Still The One,56,177500,False,0.607,0.473,2,-8.555,1,0.034,0.712,0.0,0.66,0.54,119.698,4,acoustic,,,,,,,,,0.6419914,0.022198854,0.18586273,0.06866769,0.005905514,0.013553403,0.021363666,0.040456764
44,45,74,0Zf1BPkkFAWGtVHeBwHHz4,Ingrid Michaelson,It Doesn't Have To Make Sense,Light Me Up,56,247840,False,0.417,0.595,6,-7.84,1,0.0396,0.158,0.000269,0.101,0.117,147.928,4,acoustic,,,,,,,,,0.5977085,0.037947588,0.2253866,0.050474152,0.008023469,0.016428344,0.032424808,0.031606477
45,46,75,38jy6kRlPt8z1GUS9WXeNh,Jason Mraz,Love Is a Four Letter Word,93 Million Miles,67,216386,False,0.572,0.454,3,-10.286,1,0.0258,0.477,1.37e-05,0.0974,0.515,140.182,4,acoustic,,,,,,,,,0.72862935,0.015022875,0.14286996,0.03753541,0.00385874,0.009340658,0.0139413215,0.04880169
46,47,76,2SkJKMfjpYsNv0KWOxiegX,A Great Big World,When the Morning Comes,Kaleidoscope,62,229320,False,0.709,0.913,7,-5.148,1,0.0748,0.0182,0.0,0.167,0.519,108.024,4,acoustic,,,,,,,,,0.6983586,0.02095624,0.16534619,0.031226778,0.0045685377,0.01097085,0.017630475,0.050942317
47,48,78,11TK5KLtLZUdKr1C549bAw,Drew Holcomb & The Neighbors,Good Light,What Would I Do Without You,64,172213,False,0.602,0.336,8,-11.106,1,0.0369,0.883,0.0017,0.143,0.335,90.894,4,acoustic,,,,,,,,,0.45706692,0.040787637,0.3146476,0.08659886,0.010477236,0.019801512,0.041855596,0.028764606
48,49,79,7BXW1QCg56yzEBV8pW8pah,Jason Mraz,Know.,Have It All,65,226106,False,0.643,0.638,1,-4.947,0,0.0407,0.204,0.0,0.0707,0.6,82.001,4,acoustic,,,,,,,,,0.6591293,0.0190398,0.19941601,0.042207316,0.005298649,0.011538095,0.018312508,0.045058306
49,50,82,3bHhUEOTIbezeZ856R0BX5,Eddie Vedder,Into The Wild (Music For The Motion Picture),Society,68,236306,False,0.561,0.327,11,-10.835,0,0.0327,0.902,0.000469,0.111,0.298,161.858,4,acoustic,,,,,,,,,0.6704025,0.019875856,0.18552689,0.039883725,0.005548826,0.013057094,0.022510653,0.04319438
50,51,85,4LGF2tDg3878bs0mQPByZ4,Eddie Vedder,Into The Wild (Music For The Motion Picture),Guaranteed,61,164500,False,0.436,0.4,7,-11.485,1,0.0272,0.904,0.00105,0.125,0.351,100.734,4,acoustic,,,,,,,,,0.63409275,0.02861656,0.19689658,0.038381275,0.0076891296,0.017886503,0.026997538,0.049439635
51,52,86,6Uy6K3KdmUdAfelUp0SeXn,Sara Bareilles,The Blessed Unrest,Brave,70,220573,False,0.551,0.836,10,-3.838,0,0.0524,0.00502,2.1e-05,0.0425,0.758,185.063,4,acoustic,,,,,,,,,0.714671,0.019033667,0.15778808,0.034078926,0.003954611,0.00982764,0.015417275,0.045228828
52,53,89,0qJGlogD7AyMLAJfQ42aI2,Five For Fighting,Bookmarks,Heaven Knows,62,210612,False,0.6,0.845,10,-7.076,1,0.0311,0.048,0.0,0.24,0.392,97.631,4,acoustic,,,,,,,,,0.7889096,0.015131766,0.106131956,0.029014628,0.0032113225,0.007881874,0.013856485,0.035862334
53,54,100,0U32q8CZRRo7xCzyiaZw5f,Motohiro Hata,言ノ葉,Rain,58,293040,False,0.626,0.655,9,-6.69,1,0.0263,0.503,0.0,0.13,0.542,92.003,4,acoustic,,,,,,,,,0.020917056,0.33176103,0.020492796,0.018842872,0.053954974,0.1145094,0.4351876,0.0043342835
54,55,101,4kQXMVjoZ9yMibLZq5Aqi5,Callum J Wright,Somebody Else (Acoustic),Somebody Else - Acoustic,50,138495,False,0.794,0.38,10,-8.769,0,0.0477,0.762,0.0,0.262,0.617,114.99,4,acoustic,,,,,,,,,0.548882,0.0432075,0.3130995,0.04320262,0.0042152037,0.014462509,0.018223299,0.014707374
55,56,102,3us8sod4dLbM9FiMiPiEY8,Andrew Belle,Black Bear (Hushed),Pieces (Hushed),59,198626,False,0.52,0.279,5,-10.739,0,0.0547,0.894,0.000105,0.103,0.0951,69.642,4,acoustic,,,,,,,,,0.7709159,0.0136327855,0.12238386,0.03161841,0.002948043,0.007669626,0.011978551,0.03885281
56,57,103,1PR5pyPiOEEQ02oJYq402x,Boyce Avenue;Fifth Harmony,"Cover Sessions, Vol. 3",Mirrors,57,292566,False,0.545,0.658,1,-7.174,1,0.0474,0.496,0.0,0.105,0.683,76.971,4,acoustic,,,,,,,,,0.6927714,0.018906562,0.17360137,0.039692834,0.0048347847,0.010819571,0.018574145,0.040799394
57,58,104,068qo0w1Ki0cjnFYOUhAm2,Boyce Avenue,Stand by Me,Stand by Me,60,199019,False,0.728,0.266,8,-7.322,1,0.0293,0.872,1.03e-05,0.114,0.307,115.189,4,acoustic,,,,,,,,,0.7446785,0.011882292,0.15697566,0.03801451,0.0025070435,0.006628497,0.009988915,0.029324532
58,59,105,2RFt6ZWQbr9mPhsft9u9eX,Gabrielle Aplin;JP Cooper,Dear Happy,Losing Me,61,181760,False,0.66,0.407,7,-8.381,1,0.0571,0.236,0.0,0.109,0.257,133.86,4,acoustic,,,,,,,,,0.7215977,0.026164884,0.13263014,0.037157655,0.0052845282,0.012131927,0.023707889,0.041325383
59,60,107,0VhZ5JYfqPojSYeGWnk4dL,John Adams,You’re Beautiful (Acoustic),You’re Beautiful - Acoustic,55,204973,False,0.479,0.154,2,-11.282,1,0.0352,0.915,0.0,0.0974,0.36,147.207,4,acoustic,,,,,,,,,0.53461415,0.05263155,0.28825647,0.054796502,0.0057123536,0.019519586,0.028292177,0.016177267
60,61,108,0ltIx8PLjtWoS9zn9PqsZW,Kitri,Hikare Inochi,Hikare Inochi,51,322146,False,0.592,0.769,2,-5.268,1,0.0311,0.319,4.66e-06,0.137,0.385,102.033,4,acoustic,,,,,,,,,0.6194555,0.025703412,0.24801636,0.022007726,0.0041221543,0.015823904,0.018246235,0.046624657
61,62,110,4qTHoIp62ngNDpUJwW3hZ7,Boyce Avenue,"Cover Sessions, Vol. 6",Can’t Help Falling in Love,57,131000,False,0.402,0.197,5,-10.775,1,0.0295,0.858,1.05e-06,0.114,0.148,100.044,3,acoustic,,,,,,,,,0.4975055,0.06614997,0.2998993,0.05658659,0.0061354293,0.024663966,0.03382174,0.015237465
62,63,111,4VbDTk82rqWqVgoQC93CkC,Andrew Belle,Dive Deep (Hushed),Dive Deep (Hushed),58,218531,False,0.507,0.378,9,-9.019,1,0.0332,0.852,0.000212,0.0937,0.085,135.86,4,acoustic,,,,,,,,,0.66229075,0.022351874,0.1920845,0.05086059,0.0051960074,0.011885914,0.021952022,0.03337837
63,65,113,2WZyfujzMweFLnozyUJBkW,Augustana,All The Stars and Boulevards,Boston,63,245933,False,0.404,0.571,0,-5.069,1,0.0303,0.182,2.08e-05,0.129,0.29,147.01,4,acoustic,,,,,,,,,0.5282151,0.026476733,0.29578954,0.07035131,0.006584885,0.014850257,0.025122343,0.032609828
64,66,114,6gijbGNDNNJgT60Aj7UCyc,Matthew Perryman Jones,Living in the Shadows,Living in the Shadows,53,212386,False,0.418,0.79,4,-6.599,0,0.0506,0.0284,9.96e-06,0.117,0.197,175.975,4,acoustic,,,,,,,,,0.53485894,0.035787996,0.24917519,0.06500315,0.011408619,0.019782716,0.045003545,0.038979832
65,67,115,5pq4v03P5PxMcnCagg4S3Z,Boyce Avenue,"Cover Sessions, Vol. 4",In Case You Didn’t Know,60,225165,False,0.633,0.299,11,-7.798,1,0.0353,0.833,0.0,0.109,0.341,147.549,4,acoustic,,,,,,,,,0.7034829,0.026937652,0.14227349,0.039721847,0.0058712177,0.012708029,0.027014855,0.041989926
66,68,117,65VhbQdqvozUntjnlFkFbZ,Kina Grannis,You Are My Sunshine,You Are My Sunshine,60,123609,False,0.664,0.0755,10,-19.836,1,0.0389,0.91,0.0,0.164,0.575,80.004,1,acoustic,,,,,,,,,0.74043787,0.018725025,0.1294923,0.03401038,0.003818561,0.010643994,0.016268702,0.046603154
67,69,118,05pKAafT85jeeNhZ6kq7HT,Jason Mraz,I Won't Give Up,I Won't Give Up,66,240165,False,0.585,0.303,4,-10.058,1,0.0398,0.694,0.0,0.115,0.142,136.703,3,acoustic,,,,,,,,,0.6923106,0.017893923,0.16584195,0.047037728,0.0047187647,0.011467481,0.016969511,0.04376009
68,71,121,6ta5yavnnEfCE4faU0jebM,Catherine Feeny,Hurricane Glass,Mr Blue,54,154600,False,0.456,0.386,10,-10.293,1,0.032,0.835,0.108,0.389,0.612,165.733,4,acoustic,,,,,,,,,0.772662,0.0123274345,0.12919274,0.029090561,0.0022752692,0.006574041,0.008579532,0.039298363
69,72,122,7BRCa8MPiyuvr2VU3O9W0F,Joshua Hyslop,Where The Mountain Meets The Valley,Do Not Let Me Go,60,158960,False,0.409,0.234,3,-13.711,1,0.0323,0.338,5e-05,0.0895,0.145,139.832,4,acoustic,,,,,,,,,0.5928457,0.025728436,0.2659175,0.04598468,0.005211973,0.012796329,0.018909099,0.03260636
70,73,124,4zcMBfbQZvBSHQBGDd6gsN,JJ Heller,You Already Know,You Already Know,57,214360,False,0.496,0.117,0,-12.884,1,0.0301,0.933,0.0,0.126,0.318,78.068,4,acoustic,,,,,,,,,0.5756655,0.031944178,0.2473395,0.031326562,0.010231338,0.017326659,0.03846096,0.047705274
71,74,126,5rwq6R0Uq0BngM3rdmCeNg,Howie Day,Stop All the World Now (Special Edition),Collide - Acoustic Version,67,277000,False,0.582,0.253,10,-11.43,1,0.0259,0.827,2.95e-05,0.091,0.294,90.186,4,acoustic,,,,,,,,,0.6873546,0.02466321,0.17898455,0.035196666,0.004659257,0.012391158,0.02002636,0.036724187
72,75,127,2lxBZVbkiCXC1soks2RXwV,Ben Rector,Magic,Love Like This,61,214240,False,0.637,0.14,2,-11.472,1,0.0407,0.903,0.0,0.107,0.392,139.78,4,acoustic,,,,,,,,,0.7461167,0.016336598,0.11947196,0.03859852,0.003977737,0.009143455,0.014685885,0.051669184
73,76,128,38YgZVHPWOWsKrsCXz6JyP,Matt Nathanson,Some Mad Hope,Come On Get Higher,71,215173,False,0.672,0.623,9,-5.699,1,0.0297,0.241,0.0,0.0848,0.617,92.018,4,acoustic,,,,,,,,,0.70911455,0.024007335,0.17791264,0.02465587,0.0037144865,0.0091506485,0.016451864,0.03499263
74,77,130,72R0X0h8YaxYNpegeoOl0M,Parachute,The Way It Was,Kiss Me Slowly,61,235813,False,0.47,0.801,9,-6.426,1,0.0352,0.0758,3.53e-05,0.218,0.431,173.92,4,acoustic,,,,,,,,,0.7057618,0.024346033,0.16177674,0.03418867,0.0043531316,0.011285317,0.01913551,0.039152846
75,78,131,6R6ux6KaKrhAg2EIB2krdU,Parachute,Wide Awake,Without You,61,228933,False,0.564,0.864,4,-5.121,1,0.0341,0.0761,0.0,0.182,0.534,95.984,4,acoustic,,,,,,,,,0.6805508,0.029423768,0.15274875,0.060653966,0.0057052053,0.013993576,0.02496633,0.031957567
76,79,135,4lxGVzcUaSF5HW5jtWnShV,Eddie Vedder,Into The Wild (Music For The Motion Picture),Long Nights,60,151773,False,0.478,0.305,5,-13.062,1,0.0306,0.675,0.00139,0.169,0.0974,108.66,4,acoustic,,,,,,,,,0.68730456,0.024980465,0.17340456,0.039160296,0.004748761,0.013027424,0.01951346,0.03786047
77,80,136,2PIlBukQ6limukVR8Ubb5o,Gabrielle Aplin,English Rain,Please Don't Say You Love Me,59,181400,False,0.479,0.541,0,-9.862,1,0.0545,0.737,0.0,0.108,0.321,85.994,4,acoustic,,,,,,,,,0.7749547,0.015690856,0.12037461,0.024201825,0.0031330218,0.007594132,0.013009449,0.041041374
78,81,137,5p9XWUdvbUzmPCukOmwoU3,KT Tunstall,Eye To The Telescope,Suddenly I See,73,201706,False,0.587,0.767,0,-5.713,1,0.0449,0.225,0.0,0.112,0.664,100.38,4,acoustic,,,,,,,,,0.6607382,0.026218748,0.18123727,0.050140146,0.005701986,0.012840135,0.023535967,0.039587457
79,82,141,7d0bJhpp0mCYyMXaMgWyMS,JJ Heller,I Dream of You: CALM,Make You Feel My Love,57,171293,False,0.678,0.199,9,-9.785,1,0.0307,0.957,3.23e-06,0.0968,0.262,72.006,4,acoustic,,,,,,,,,0.78430885,0.012175189,0.11652027,0.024638029,0.002316447,0.006031411,0.008544476,0.045465324
80,83,149,0fzCtVM9D5UEwiLqcY8Ouq,Eddie Vedder,Into The Wild (Music For The Motion Picture),Hard Sun,65,322080,False,0.438,0.827,8,-6.531,1,0.0328,0.0512,0.000402,0.319,0.645,143.377,4,acoustic,,,,,,,,,0.6277452,0.028135737,0.23568515,0.03308431,0.005302648,0.013848105,0.020861872,0.035336934
